"","commodities","freq_bought","freq_boughtwitheggs","prob_boughtwitheggs"
"168","FRZN FRUITS","158","43","0.272151898734177"
"169","SNKS/CKYS/CRKR/CNDY","164","29","0.176829268292683"
"170","(CORP USE ONLY)","8","2","0.25"
"171","FRZN SEAFOOD","4","0","0"
"172","MEAT SUPPLIES","7","3","0.428571428571429"
"173","BEVERAGE","32","5","0.15625"
"174","NON-DAIRY BEVERAGES","48","19","0.395833333333333"
"175","PACKAGED NATURAL SNACKS","70","9","0.128571428571429"
"176","NON EDIBLE PRODUCTS","19","2","0.105263157894737"
"177","DELI SPECIALTIES (RETAIL PK)","34","5","0.147058823529412"
"178","SALAD BAR","1","0","0"
"179","RESTRICTED DIET","8","1","0.125"
"180","SERVICE BEVERAGE","28","1","0.0357142857142857"
"181","DRY TEA/COFFEE/COCO MIX","34","2","0.0588235294117647"
"182","LAMB","13","3","0.230769230769231"
"183","SEASONAL","54","6","0.111111111111111"
"184","BABYFOOD","2","0","0"
"185","RW FRESH PROCESSED MEAT","3","1","0.333333333333333"
"186","VEAL","11","5","0.454545454545455"
"187","NATURAL VITAMINS","7","0","0"
"188","BAKERY PARTY TRAYS","20","0","0"
"189","NDAIRY/TEAS/JUICE/SOD","1","0","0"
"190","PROD SUPPLIES","1","0","0"
"191","BULK FOODS","1","1","1"
"192","FROZEN PACKAGE MEAT","1","0","0"
